50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)
-6.00    -0.60    -2.110808513462416E+01     3.281383778323193E-05     1.019038050548028E-05
-6.00    -0.50    -2.110808513462416E+01     3.281383778323111E-05     1.019038048182833E-05
-6.00    -0.40    -2.110808513462416E+01     3.281383778323047E-05     1.019038046304092E-05
-6.00    -0.30    -2.110808513462416E+01     3.281383778322996E-05     1.019038044811755E-05
-6.00    -0.20    -2.110808513462416E+01     3.281383778322955E-05     1.019038043626349E-05
-6.00    -0.10    -2.110808513462416E+01     3.281383778322922E-05     1.019038042684748E-05
-6.00     0.00    -2.110808513462416E+01     3.281383778322897E-05     1.019038041936808E-05
-6.00     0.10    -1.339146217655621E+01     3.286478017494818E-05     9.342259537063724E-06
-6.00     0.20    -1.305994209563097E+01     3.364243517283581E-05     8.323802077459525E-06
-6.00     0.30    -1.284306758246155E+01     3.561526785166617E-05     7.585305610566272E-06
-6.00     0.40    -1.266530051077420E+01     3.942360867874061E-05     7.000321995623206E-06
-6.00     0.50    -4.229155271643592E+00     4.609171194388522E-05     5.964286249391916E-06
-6.00     0.60    -3.788500958071889E+00     5.744504749838720E-05     5.078564936864135E-06
-6.00     0.70    -3.444639385517994E+00     7.545391635847731E-05     4.371814043960438E-06
-6.00     0.80    -3.142127156478391E+00     1.026564775602007E-04     3.780273281494665E-06
-6.00     0.90    -2.864565717171430E+00     1.422638557472276E-04     3.274297086067961E-06
-6.00     1.00    -2.604407473111669E+00     1.982890112487164E-04     2.837281250304773E-06
-6.00     1.10    -2.357369691012777E+00     2.756974046042587E-04     2.458164708970833E-06
-6.00     1.20    -2.120701739243769E+00     3.805805077891183E-04     2.128912207086624E-06
-6.00     1.30    -1.892487984441066E+00     5.203566184176806E-04     1.842736802151940E-06
-6.00     1.40    -1.671318023081380E+00     7.040277581282214E-04     1.594098399695406E-06
-6.00     1.50    -1.456110536546505E+00     9.424559793461640E-04     1.378176147860699E-06
-6.00     1.60    -1.246011606709219E+00     1.248687111574903E-03     1.190720094706069E-06
-6.00     1.70    -1.040331954312568E+00     1.638344960529525E-03     1.028187371262165E-06
-6.00     1.80    -8.385054594040586E-01     2.130087518183223E-03     8.873698565199009E-07
-6.00     1.90    -6.400608299234547E-01     2.746141139937694E-03     7.654151493056438E-07
-6.00     2.00    -4.446015569383616E-01     3.512925301343752E-03     6.598875561789353E-07
-5.90   -12.60    -2.100376699435384E+01     3.677712569675565E-05     1.170891383916577E-01
-5.90   -12.50    -2.100376699435384E+01     3.596199018806440E-05     9.301007772656597E-02
-5.90   -12.40    -2.100376699435384E+01     3.531450503838461E-05     7.388339997464474E-02
-5.90   -12.30    -2.100376699435384E+01     3.480018930242927E-05     5.869053979982097E-02
