logT	 logRho		logP		u	s
 -5.90    -6.90    -2.126336093041496E+01     2.799697458293556E-05     9.574245524125579E-06
 -5.90    -6.80    -2.126336093041496E+01     2.799697270147827E-05     9.551106435557319E-06
 -5.90    -6.70    -2.126336093041496E+01     2.799697120698361E-05     9.532726404181763E-06
 -5.90    -6.60    -2.126336093041496E+01     2.799697001986432E-05     9.518126626305040E-06
 -5.90    -6.50    -2.126336093041496E+01     2.799696907690194E-05     9.506529610516858E-06
 -5.90    -6.40    -2.126336093041496E+01     2.799696832788030E-05     9.497317773437761E-06
 -5.90    -6.30    -2.126336093041496E+01     2.799696773291126E-05     9.490000551152154E-06
 -5.90    -6.20    -2.126336093041496E+01     2.799696726031055E-05     9.484188274890942E-06
 -5.90    -6.10    -2.126336093041496E+01     2.799696688491047E-05     9.479571419748645E-06
 -5.90    -6.00    -2.126336093041496E+01     2.799696658671958E-05     9.475904121353485E-06
 -5.90    -5.90    -2.126336093041496E+01     2.799696634985814E-05     9.472991082693051E-06
 -5.90    -5.80    -2.126336093041496E+01     2.799696616171241E-05     9.470677173836226E-06
 -5.90    -5.70    -2.126336093041496E+01     2.799696601226295E-05     9.468839170698670E-06
 -5.90    -5.60    -2.126336093041496E+01     2.799696589355101E-05     9.467379192910998E-06
 -5.90    -5.50    -2.126336093041496E+01     2.799696579925478E-05     9.466219491332179E-06
 -5.90    -5.40    -2.126336093041496E+01     2.799696572435261E-05     9.465298307624269E-06
 -5.90    -5.30    -2.126336093041496E+01     2.799696566485571E-05     9.464566585395709E-06
 -5.90    -5.20    -2.126336093041496E+01     2.799696561759564E-05     9.463985357769588E-06
 -5.90    -5.10    -2.126336093041496E+01     2.799696558005563E-05     9.463523672255359E-06
 -5.90    -5.00    -2.126336093041496E+01     2.799696555023654E-05     9.463156942415843E-06
 -5.90    -4.90    -2.126336093041496E+01     2.799696552655040E-05     9.462865638549799E-06
 -5.90    -4.80    -2.126336093041496E+01     2.799696550773583E-05     9.462634247664115E-06
 -5.90    -4.70    -2.126336093041496E+01     2.799696549279088E-05     9.462450447350361E-06
 -5.90    -4.60    -2.126336093041496E+01     2.799696548091969E-05     9.462304449571593E-06
 -5.90    -4.50    -2.126336093041496E+01     2.799696547149006E-05     9.462188479413712E-06
 -5.90    -4.40    -2.126336093041496E+01     2.799696546399984E-05     9.462096361042921E-06
 -5.90    -4.30    -2.126336093041496E+01     2.799696545805016E-05     9.462023188820064E-06
 -5.90    -4.20    -2.126336093041496E+01     2.799696545332415E-05     9.461965066057453E-06
 -5.90    -4.10    -2.126336093041496E+01     2.799696544957015E-05     9.461918897506029E-06
 -5.90    -4.00    -2.126336093041496E+01     2.799696544658824E-05     9.461882224522077E-06
 -5.90    -3.90    -2.126336093041496E+01     2.799696544421962E-05     9.461853094135474E-06
 -5.90    -3.80    -2.126336093041496E+01     2.799696544233817E-05     9.461829955046905E-06
 -5.90    -3.70    -2.126336093041496E+01     2.799696544084367E-05     9.461811575015529E-06
 -5.90    -3.60    -2.126336093041496E+01     2.799696543965655E-05     9.461796975237652E-06
 -5.90    -3.50    -2.126336093041496E+01     2.799696543871359E-05     9.461785378221865E-06
 -5.90    -3.40    -2.126336093041496E+01     2.799696543796457E-05     9.461776166384785E-06
 -5.90    -3.30    -2.126336093041496E+01     2.799696543736960E-05     9.461768849162500E-06
 -5.90    -3.20    -2.126336093041496E+01     2.799696543689700E-05     9.461763036886239E-06
 -5.90    -3.10    -2.126336093041496E+01     2.799696543652160E-05     9.461758420031097E-06
 -5.90    -3.00    -2.126336093041496E+01     2.799696543622341E-05     9.461754752732702E-06
 -5.90    -2.90    -2.126336093041496E+01     2.799696543598655E-05     9.461751839694041E-06
 -5.90    -2.80    -2.126336093041496E+01     2.799696543579840E-05     9.461749525785184E-06
 -5.90    -2.70    -2.126336093041496E+01     2.799696543564895E-05     9.461747687782047E-06
 -5.90    -2.60    -2.126336093041496E+01     2.799696543553024E-05     9.461746227804258E-06
 -5.90    -2.50    -2.126336093041496E+01     2.799696543543594E-05     9.461745068102680E-06
 -5.90    -2.40    -2.126336093041496E+01     2.799696543536104E-05     9.461744146918973E-06
 -5.90    -2.30    -2.126336093041496E+01     2.799696543530155E-05     9.461743415196744E-06
 -5.90    -2.20    -2.126336093041496E+01     2.799696543525428E-05     9.461742833969117E-06
 -5.90    -2.10    -2.126336093041496E+01     2.799696543521674E-05     9.461742372283604E-06
 -5.90    -2.00    -2.126336093041496E+01     2.799696543518692E-05     9.461742005553764E-06
 -5.90    -1.90    -2.126336093041496E+01     2.799696543516324E-05     9.461741714249897E-06
 -5.90    -1.80    -2.126336093041496E+01     2.799696543514442E-05     9.461741482859012E-06
