logT	 logRho		logP		u	s
 -5.90    -7.20    -2.121787524682500E+01     9.546559806328163E-06     4.431574642057750E-06
 -5.90    -7.10    -2.121787524682500E+01     9.546556713341926E-06     4.381073528052149E-06
 -5.90    -7.00    -2.121787524682500E+01     9.546554256495629E-06     4.340959067312471E-06
 -5.90    -6.90    -2.121787524682500E+01     9.546552304953245E-06     4.309095018526205E-06
 -5.90    -6.80    -2.121787524682500E+01     9.546550754788030E-06     4.283784504902642E-06
 -5.90    -6.70    -2.121787524682500E+01     9.546549523448030E-06     4.263679649296072E-06
 -5.90    -6.60    -2.121787524682500E+01     9.546548545359902E-06     4.247709794832720E-06
 -5.90    -6.50    -2.121787524682500E+01     9.546547768436887E-06     4.235024488528041E-06
 -5.90    -6.40    -2.121787524682500E+01     9.546547151304998E-06     4.224948191564109E-06
 -5.90    -6.30    -2.121787524682500E+01     9.546546661099715E-06     4.216944304384190E-06
 -5.90    -6.20    -2.121787524682500E+01     9.546546271715818E-06     4.210586590809635E-06
 -5.90    -6.10    -2.121787524682500E+01     9.546545962417194E-06     4.205536479409074E-06
 -5.90    -6.00    -2.121787524682500E+01     9.546545716732563E-06     4.201525033335107E-06
 -5.90    -5.90    -2.121787524682500E+01     9.546545521578326E-06     4.198338628456480E-06
 -5.90    -5.80    -2.121787524682500E+01     9.546545366561804E-06     4.195807577094124E-06
 -5.90    -5.70    -2.121787524682500E+01     9.546545243427805E-06     4.193797091533467E-06
 -5.90    -5.60    -2.121787524682500E+01     9.546545145618991E-06     4.192200106087131E-06
 -5.90    -5.50    -2.121787524682500E+01     9.546545067926690E-06     4.190931575456663E-06
 -5.90    -5.40    -2.121787524682500E+01     9.546545006213501E-06     4.189923945760270E-06
 -5.90    -5.30    -2.121787524682500E+01     9.546544957192973E-06     4.189123557042278E-06
 -5.90    -5.20    -2.121787524682500E+01     9.546544918254584E-06     4.188487785684823E-06
 -5.90    -5.10    -2.121787524682500E+01     9.546544887324720E-06     4.187982774544767E-06
 -5.90    -5.00    -2.121787524682500E+01     9.546544862756258E-06     4.187581629937370E-06
 -5.90    -4.90    -2.121787524682500E+01     9.546544843240834E-06     4.187262989449507E-06
 -5.90    -4.80    -2.121787524682500E+01     9.546544827739181E-06     4.187009884313271E-06
 -5.90    -4.70    -2.121787524682500E+01     9.546544815425782E-06     4.186808835757206E-06
 -5.90    -4.60    -2.121787524682500E+01     9.546544805644901E-06     4.186649137212573E-06
 -5.90    -4.50    -2.121787524682500E+01     9.546544797875671E-06     4.186522284149525E-06
 -5.90    -4.40    -2.121787524682500E+01     9.546544791704351E-06     4.186421521179886E-06
 -5.90    -4.30    -2.121787524682500E+01     9.546544786802299E-06     4.186341482308087E-06
 -5.90    -4.20    -2.121787524682500E+01     9.546544782908460E-06     4.186277905172341E-06
 -5.90    -4.10    -2.121787524682500E+01     9.546544779815473E-06     4.186227404058336E-06
 -5.90    -4.00    -2.121787524682500E+01     9.546544777358627E-06     4.186187289597596E-06
 -5.90    -3.90    -2.121787524682500E+01     9.546544775407085E-06     4.186155425548810E-06
 -5.90    -3.80    -2.121787524682500E+01     9.546544773856920E-06     4.186130115035186E-06
 -5.90    -3.70    -2.121787524682500E+01     9.546544772625580E-06     4.186110010179580E-06
 -5.90    -3.60    -2.121787524682500E+01     9.546544771647492E-06     4.186094040325117E-06
 -5.90    -3.50    -2.121787524682500E+01     9.546544770870568E-06     4.186081355018812E-06
 -5.90    -3.40    -2.121787524682500E+01     9.546544770253437E-06     4.186071278721848E-06
 -5.90    -3.30    -2.121787524682500E+01     9.546544769763232E-06     4.186063274834668E-06
 -5.90    -3.20    -2.121787524682500E+01     9.546544769373847E-06     4.186056917121093E-06
 -5.90    -3.10    -2.121787524682500E+01     9.546544769064548E-06     4.186051867009693E-06
 -5.90    -3.00    -2.121787524682500E+01     9.546544768818865E-06     4.186047855563619E-06
 -5.90    -2.90    -2.121787524682500E+01     9.546544768623710E-06     4.186044669158740E-06
 -5.90    -2.80    -2.121787524682500E+01     9.546544768468693E-06     4.186042138107378E-06
 -5.90    -2.70    -2.121787524682500E+01     9.546544768345560E-06     4.186040127621817E-06
 -5.90    -2.60    -2.121787524682500E+01     9.546544768247751E-06     4.186038530636371E-06
 -5.90    -2.50    -2.121787524682500E+01     9.546544768170058E-06     4.186037262105740E-06
 -5.90    -2.40    -2.121787524682500E+01     9.546544768108345E-06     4.186036254476044E-06
 -5.90    -2.30    -2.121787524682500E+01     9.546544768059325E-06     4.186035454087326E-06
 -5.90    -2.20    -2.121787524682500E+01     9.546544768020385E-06     4.186034818315969E-06
 -5.90    -2.10    -2.121787524682500E+01     9.546544767989457E-06     4.186034313304828E-06
 -5.90    -2.00    -2.121787524682500E+01     9.546544767964888E-06     4.186033912160221E-06
 -5.90    -1.90    -2.121787524682500E+01     9.546544767945372E-06     4.186033593519733E-06
 -5.90    -1.80    -2.121787524682500E+01     9.546544767929871E-06     4.186033340414597E-06
 -5.90    -1.70    -2.121787524682500E+01     9.546544767917557E-06     4.186033139366041E-06
 -5.90    -1.60    -2.121787524682500E+01     9.546544767907776E-06     4.186032979667496E-06
 -5.90    -1.50    -2.121787524682500E+01     9.546544767900007E-06     4.186032852814434E-06
 -5.90    -1.40    -2.121787524682500E+01     9.546544767893835E-06     4.186032752051464E-06
 -5.90    -1.30    -2.121787524682500E+01     9.546544767888934E-06     4.186032672012592E-06
 -5.90    -1.20    -2.121787524682500E+01     9.546544767885040E-06     4.186032608435456E-06
 -5.90    -1.10    -2.121787524682500E+01     9.546544767881946E-06     4.186032557934342E-06
 -5.90    -1.00    -2.121787524682500E+01     9.546544767879490E-06     4.186032517819882E-06
 -5.90    -0.90    -2.121787524682500E+01     9.546544767877538E-06     4.186032485955833E-06
 -5.90    -0.80    -2.121787524682500E+01     9.546544767875988E-06     4.186032460645319E-06
 -5.90    -0.70    -2.121787524682500E+01     9.546544767874757E-06     4.186032440540463E-06
 -5.90    -0.60    -2.121787524682500E+01     9.546544767873779E-06     4.186032424570609E-06
 -5.90    -0.50    -2.121787524682500E+01     9.546544767873002E-06     4.186032411885303E-06
 -5.90    -0.40    -2.121787524682500E+01     9.546544767872385E-06     4.186032401809006E-06
 -5.90    -0.30    -2.121787524682500E+01     9.546544767871895E-06     4.186032393805119E-06
 -5.90    -0.20    -2.121787524682500E+01     9.546544767871506E-06     4.186032387447405E-06
 -5.90    -0.10    -2.121787524682500E+01     9.546544767871196E-06     4.186032382397293E-06
 -5.90     0.00    -2.121787524682500E+01     9.546544767870950E-06     4.186032378385848E-06
 -5.90     0.10    -2.121787524682500E+01     9.546544767870755E-06     4.186032375199443E-06
 -5.90     0.20    -2.121787524682500E+01     9.546544767870599E-06     4.186032372668392E-06
 -5.90     0.30    -2.121787524682500E+01     9.546544767870477E-06     4.186032370657905E-06
 -5.90     0.40    -2.121787524682500E+01     9.546544767870379E-06     4.186032369060921E-06
 -5.90     0.50    -2.121787524682500E+01     9.546544767870301E-06     4.186032367792390E-06
 -5.90     0.60    -2.121787524682500E+01     9.546544767870240E-06     4.186032366784760E-06
 -5.90     0.70    -2.121787524682500E+01     9.546544767870191E-06     4.186032365984372E-06
 -5.90     0.80    -2.121787524682500E+01     9.546544767870152E-06     4.186032365348600E-06
 -5.90     0.90    -2.121787524682500E+01     9.546544767870122E-06     4.186032364843588E-06
 -5.90     1.00    -4.239035123403871E+00     1.002526611820728E-05     3.280687103591969E-06
 -5.90     1.10    -3.647772598263328E+00     1.261499646552716E-05     2.650674755324804E-06
 -5.90     1.20    -3.219207467793666E+00     1.886933038832681E-05     2.229071674560799E-06
