#density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_nettel_[K],radius_[m]
0.34701,10.370000000000001,1510.0,2067.4607142857144,2056400000.0
0.34852,10.483,1513.6,2075.0276785714286,2053900000.0
0.35004,10.596,1517.2,2082.484210526316,2051400000.0
0.35159,10.711,1520.8,2089.9666666666667,2048800000.0
0.35313,10.826,1524.4,2097.515789473684,2046300000.0
0.35468,10.941,1527.9,2104.887931034483,2043700000.0
0.35622,11.057,1531.5,2112.287931034483,2041200000.0
0.35776,11.175,1535.0,2119.7615384615387,2038700000.0
0.35931,11.293000000000001,1538.6,2127.2247863247867,2036100000.0
0.36085,11.411,1542.1,2134.5806722689076,2033600000.0
0.36239,11.531,1545.6,2142.042857142857,2031000000.0
0.36394,11.651,1549.1,2149.505042016807,2028500000.0
0.36548,11.772,1552.5,2156.9214876033056,2026000000.0
0.36703,11.893,1556.0,2164.2347107438013,2023400000.0
0.36857,12.015,1559.5,2171.6295081967214,2020900000.0
0.3701,12.139000000000001,1562.9,2179.009756097561,2018300000.0
0.37164,12.262,1566.3,2186.3451612903227,2015800000.0
0.37318,12.387,1569.8,2193.716935483871,2013300000.0
0.37471,12.512,1573.2,2201.112,2010700000.0
0.37625,12.638,1576.6,2208.4309523809525,2008200000.0
0.37779,12.764000000000001,1580.0,2215.730952380952,2005700000.0
0.37933,12.892000000000001,1583.3,2223.184251968504,2003100000.0
0.38086,13.020000000000001,1586.7,2230.4511627906977,2000600000.0
0.3824,13.15,1590.1,2237.8585937499997,1998000000.0
0.38396,13.280000000000001,1593.4,2245.26,1995500000.0
0.38554,13.41,1596.7,2252.57,1993000000.0
0.38711,13.542,1600.1,2259.8810606060606,1990400000.0
0.38868,13.674000000000001,1603.4,2267.271212121212,1987900000.0
0.39025,13.807,1606.7,2274.636363636364,1985300000.0
0.39182,13.941,1610.0,2281.9462686567163,1982800000.0
0.39339,14.076,1613.3,2289.392537313433,1980300000.0
0.39496,14.211,1616.6,2296.6558823529413,1977700000.0
0.39654,14.348,1619.8,2304.1014705882353,1975200000.0
0.39811,14.485000000000001,1623.1,2311.4632352941176,1972600000.0
0.39968,14.622,1626.3,2318.8101449275364,1970100000.0
0.40126,14.761000000000001,1629.6,2326.263768115942,1967600000.0
0.40283,14.901,1632.8,2333.6,1965000000.0
0.4031,14.924000000000001,1633.3,2334.8347826086956,1964600000.0
0.40336,14.947000000000001,1633.8,2336.0782608695654,1964200000.0
0.40362,14.971,1634.4,2337.3,1963800000.0
0.40388,14.994,1634.9,2338.5,1963300000.0
0.40415,15.017000000000001,1635.5,2339.3500000000004,1962900000.0
0.40441,15.041,1636.0,2339.975,1962500000.0
0.40467,15.065000000000001,1636.5,2340.6,1962100000.0
0.40493,15.088000000000001,1637.1,2341.221739130435,1961700000.0
0.4052,15.112,1637.6,2341.8652173913047,1961200000.0
0.40526,15.117,1637.7,2341.999275362319,1961100000.0
0.40533,15.124,1637.9,2342.1869565217394,1961000000.0
0.40539,15.129000000000001,1638.0,2342.321014492754,1960900000.0
0.4054,15.13,1638.0,2342.3478260869565,1960900000.0
0.40541,15.131,1638.0,2342.3746376811596,1960900000.0
1.1879,15.131,1638.1,2342.3746376811596,1960900000.0
1.1881,15.139000000000001,1638.1,2342.589130434783,1960800000.0
1.1883,15.146,1638.1,2342.776811594203,1960800000.0
1.1885,15.154,1638.1,2342.9913043478264,1960700000.0
1.1887,15.162,1638.1,2343.205797101449,1960700000.0
1.1889,15.169,1638.2,2343.39347826087,1960600000.0
1.1891,15.177000000000001,1638.2,2343.6079710144927,1960600000.0
1.1893,15.185,1638.2,2343.822463768116,1960500000.0
1.1895,15.192,1638.2,2344.010144927536,1960500000.0
1.1897,15.200000000000001,1638.2,2344.2246376811595,1960500000.0
1.1899,15.208,1638.3,2344.439130434783,1960400000.0
1.2008,15.624,1639.5,2355.5263157894738,1957900000.0
1.2116,16.043,1642.8,2366.4311163895486,1955300000.0
1.2223,16.467000000000002,1646.2,2377.1661971830986,1952800000.0
1.2329,16.895,1649.5,2387.851162790698,1950200000.0
1.2434,17.325,1652.7,2398.459584295612,1947700000.0
1.2539,17.761,1656.0,2409.1607305936072,1945200000.0
1.2643,18.201,1659.2,2419.8510204081635,1942600000.0
1.2746,18.645,1662.3,2430.6919101123594,1940100000.0
1.2848,19.093,1665.4,2441.5575555555556,1937600000.0
1.295,19.542,1668.5,2452.483628318584,1935000000.0
1.305,19.998,1671.6,2463.7078774617066,1932500000.0
1.3151,20.457,1674.6,2475.0915401301518,1929900000.0
1.325,20.92,1677.6,2486.684051724138,1927400000.0
1.3349,21.387,1680.6,2498.528205128205,1924900000.0
1.3447,21.858,1683.5,2510.673728813559,1922300000.0
1.3545,22.332,1686.5,2523.0684210526315,1919800000.0
1.3642,22.810000000000002,1689.3,2535.6455114822547,1917200000.0
1.3739,23.292,1692.2,2548.35817805383,1914700000.0
1.3834,23.778000000000002,1695.0,2561.2090534979425,1912200000.0
1.393,24.267,1697.8,2574.013469387755,1909600000.0
1.4024,24.759,1700.6,2586.691093117409,1907100000.0
1.4118,25.256,1703.4,2599.2657947686116,1904500000.0
1.4212,25.754,1706.1,2611.5896000000002,1902000000.0
1.4305,26.257,1708.8,2623.7523809523814,1899500000.0
1.4398,26.764,1711.5,2635.6385826771657,1896900000.0
1.449,27.275000000000002,1714.1,2647.167906066536,1894400000.0
1.4582,27.787000000000003,1716.8,2658.3517509727626,1891900000.0
1.4673,28.305,1719.4,2669.328185328185,1889300000.0
1.4763,28.826,1722.0,2680.043103448276,1886800000.0
1.4854,29.35,1724.6,2690.482666666667,1884200000.0
1.4946,29.878,1727.1,2700.7405303030305,1881700000.0
1.5038,30.41,1729.6,2710.807894736842,1879200000.0
1.5128,30.944000000000003,1732.1,2720.6833644859817,1876600000.0
1.5219,31.483,1734.6,2730.414126394052,1874100000.0
1.5309,32.025,1737.1,2739.9560885608853,1871500000.0
1.5398,32.57,1739.5,2749.3983516483518,1869000000.0
1.5487,33.119,1742.0,2758.6941605839415,1866500000.0
1.5575,33.671,1744.4,2767.8916666666664,1863900000.0
1.5663,34.224000000000004,1746.7,2776.9807553956834,1861400000.0
1.575,34.782000000000004,1749.1,2786.0998207885305,1858900000.0
1.5837,35.344,1751.5,2795.2797153024912,1856300000.0
1.5924,35.910000000000004,1753.8,2804.4815929203537,1853800000.0
1.601,36.478,1756.1,2813.6521126760563,1851200000.0
1.6096,37.050000000000004,1758.4,2822.932167832168,1848700000.0
1.6181,37.623000000000005,1760.7,2832.2706086956523,1846200000.0
1.6266,38.201,1762.9,2841.7854671280274,1843600000.0
1.6351,38.783,1765.2,2851.4740103270224,1841100000.0
1.6435,39.367000000000004,1767.4,2861.2462328767124,1838500000.0
1.6519,39.955,1769.6,2871.1804088586027,1836000000.0
1.6603,40.546,1771.8,2881.2629441624367,1833500000.0
1.6686,41.14,1774.0,2891.444182124789,1830900000.0
1.677,41.738,1776.2,2901.744556113903,1828400000.0
1.6852,42.338,1778.3,2912.1650000000004,1825800000.0
1.6935,42.939,1780.5,2922.7044776119405,1823300000.0
1.7017,43.546,1782.6,2933.3968646864687,1820800000.0
1.7099,44.156,1784.7,2944.189655172414,1818200000.0
