density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
0.85163,19.513,1753.4,3569.8,1987900000.0
0.85887,19.796,1755.2,3571.6,1985400000.0
0.86613,20.082,1757.1,3573.4,1982800000.0
0.87342,20.371000000000002,1758.9,3575.2,1980300000.0
0.88072,20.662,1760.7,3577.0,1977700000.0
0.88805,20.956,1762.5,3578.7,1975200000.0
0.8954,21.253,1764.3,3580.5,1972700000.0
0.90278,21.552,1766.0,3582.2,1970100000.0
0.91017,21.855,1767.8,3583.9,1967600000.0
0.91758,22.16,1769.5,3585.6,1965000000.0
0.92502,22.468,1771.2,3587.2,1962500000.0
0.93247,22.779,1772.8,3588.9,1960000000.0
0.93995,23.092000000000002,1777.3,3593.1,1957400000.0
0.94744,23.409000000000002,1781.7,3597.4,1954900000.0
0.95496,23.728,1786.1,3601.6,1952400000.0
0.96249,24.051000000000002,1790.4,3605.7,1949800000.0
0.97005,24.376,1794.7,3609.9,1947300000.0
0.97762,24.704,1798.9,3613.9,1944700000.0
0.98522,25.035,1803.2,3618.0,1942200000.0
0.99283,25.369,1807.3,3622.0,1939700000.0
1.0005,25.706,1811.4,3625.9,1937100000.0
1.0081,26.046,1815.5,3629.8,1934600000.0
1.0158,26.389,1819.6,3633.7,1932000000.0
1.0235,26.734,1823.6,3637.6,1929500000.0
1.0312,27.083000000000002,1827.5,3641.4,1927000000.0
1.0389,27.435000000000002,1831.4,3645.1,1924400000.0
1.0467,27.789,1835.3,3648.9,1921900000.0
1.0544,28.147000000000002,1839.2,3652.6,1919300000.0
1.0622,28.508000000000003,1843.0,3656.2,1916800000.0
1.07,28.871000000000002,1846.8,3659.9,1914300000.0
1.0778,29.238,1850.5,3663.5,1911700000.0
1.0857,29.608,1854.2,3667.0,1909200000.0
1.0935,29.981,1857.9,3670.6,1906700000.0
1.1014,30.356,1861.5,3674.1,1904100000.0
1.1093,30.735,1865.1,3677.5,1901600000.0
1.1172,31.117,1868.7,3681.0,1899000000.0
1.1251,31.502000000000002,1872.2,3684.4,1896500000.0
1.133,31.89,1875.7,3687.7,1894000000.0
1.141,32.282000000000004,1879.2,3691.1,1891400000.0
1.1489,32.676,1882.6,3694.4,1888900000.0
1.1569,33.073,1886.0,3697.7,1886300000.0
1.1649,33.474000000000004,1889.4,3700.9,1883800000.0
1.1729,33.878,1892.7,3704.2,1881300000.0
1.181,34.284,1896.1,3707.4,1878700000.0
1.189,34.694,1899.3,3710.5,1876200000.0
1.1971,35.107,1902.6,3713.7,1873600000.0
1.2051,35.524,1905.8,3716.8,1871100000.0
1.2132,35.943,1909.0,3719.9,1868600000.0
1.2213,36.366,1912.2,3722.9,1866000000.0
1.2295,36.791000000000004,1915.3,3726.0,1863500000.0
1.2376,37.22,1918.5,3729.0,1861000000.0
1.2457,37.652,1921.6,3732.0,1858400000.0
1.2539,38.088,1924.6,3734.9,1855900000.0
1.2621,38.526,1927.6,3737.8,1853300000.0
1.2703,38.968,1930.7,3740.7,1850800000.0
1.2785,39.413000000000004,1933.6,3743.6,1848300000.0
1.2867,39.861000000000004,1936.6,3746.5,1845700000.0
1.2949,40.312000000000005,1939.5,3749.3,1843200000.0
1.3032,40.767,1942.4,3752.1,1840600000.0
1.3114,41.225,1945.3,3754.9,1838100000.0
1.3197,41.686,1948.2,3757.7,1835600000.0
1.328,42.15,1951.0,3760.4,1833000000.0
1.3362,42.618,1953.8,3763.1,1830500000.0
1.3445,43.089,1956.6,3765.8,1828000000.0
1.3529,43.563,1959.4,3768.5,1825400000.0
1.3612,44.04,1962.1,3771.1,1822900000.0
1.3695,44.521,1964.8,3773.8,1820300000.0
1.3779,45.005,1967.5,3776.4,1817800000.0
1.3862,45.492000000000004,1970.2,3779.0,1815300000.0
1.3946,45.983000000000004,1972.8,3781.5,1812700000.0
1.403,46.476,1975.5,3784.1,1810200000.0
1.4114,46.974000000000004,1978.1,3786.6,1807600000.0
1.4198,47.474000000000004,1980.7,3789.1,1805100000.0
1.4282,47.978,1983.2,3791.6,1802600000.0
1.4366,48.485,1985.8,3794.0,1800000000.0
1.4451,48.995000000000005,1988.3,3796.5,1797500000.0
1.4535,49.509,1990.8,3798.9,1794900000.0
1.462,50.026,1993.3,3801.3,1792400000.0
1.4704,50.546,1995.8,3803.7,1789900000.0
1.4789,51.07,1998.2,3806.1,1787300000.0
1.4874,51.597,2000.6,3808.4,1784800000.0
1.4959,52.127,2003.0,3810.8,1782300000.0
