logT	 logRho		logP		u	s
 -5.90    -2.70    -2.074417305829272E+01     3.763071900788867E-05     1.843829547910138E-05
 -5.90    -2.60    -2.074417305829272E+01     3.763071900780215E-05     1.843829087633089E-05
 -5.90    -2.50    -2.074417305829272E+01     3.763071900773341E-05     1.843828722022034E-05
 -5.90    -2.40    -2.074417305829272E+01     3.763071900767882E-05     1.843828431606850E-05
 -5.90    -2.30    -2.074417305829272E+01     3.763071900763545E-05     1.843828200921869E-05
 -5.90    -2.20    -2.074417305829272E+01     3.763071900760101E-05     1.843828017682276E-05
 -5.90    -2.10    -2.074417305829272E+01     3.763071900757364E-05     1.843827872129893E-05
 -5.90    -2.00    -2.074417305829272E+01     3.763071900755191E-05     1.843827756513526E-05
 -5.90    -1.90    -2.074417305829272E+01     3.763071900753465E-05     1.843827664676181E-05
 -5.90    -1.80    -2.074417305829272E+01     3.763071900752093E-05     1.843827591727184E-05
 -5.90    -1.70    -2.074417305829272E+01     3.763071900751004E-05     1.843827533781737E-05
 -5.90    -1.60    -2.074417305829272E+01     3.763071900750138E-05     1.843827487754032E-05
 -5.90    -1.50    -2.074417305829272E+01     3.763071900749451E-05     1.843827451192927E-05
 -5.90    -1.40    -2.074417305829272E+01     3.763071900748905E-05     1.843827422151408E-05
 -5.90    -1.30    -2.074417305829272E+01     3.763071900748471E-05     1.843827399082910E-05
 -5.90    -1.20    -2.074417305829272E+01     3.763071900748127E-05     1.843827380758951E-05
 -5.90    -1.10    -2.074417305829272E+01     3.763071900747853E-05     1.843827366203713E-05
 -5.90    -1.00    -2.074417305829272E+01     3.763071900747636E-05     1.843827354642076E-05
 -5.90    -0.90    -2.074417305829272E+01     3.763071900747464E-05     1.843827345458341E-05
 -5.90    -0.80    -2.074417305829272E+01     3.763071900747326E-05     1.843827338163442E-05
 -5.90    -0.70    -2.074417305829272E+01     3.763071900747218E-05     1.843827332368897E-05
 -5.90    -0.60    -2.074417305829272E+01     3.763071900747131E-05     1.843827327766127E-05
 -5.90    -0.50    -2.074417305829272E+01     3.763071900747062E-05     1.843827324110016E-05
 -5.90    -0.40    -2.074417305829272E+01     3.763071900747008E-05     1.843827321205864E-05
 -5.90    -0.30    -2.074417305829272E+01     3.763071900746964E-05     1.843827318899015E-05
 -5.90    -0.20    -2.074417305829272E+01     3.763071900746930E-05     1.843827317066618E-05
 -5.90    -0.10    -2.074417305829272E+01     3.763071900746903E-05     1.843827315611095E-05
 -5.90     0.00    -2.074417305829272E+01     3.763071900746881E-05     1.843827314454931E-05
 -5.90     0.10    -5.414923185821594E+00     3.773260131029932E-05     1.568002660113193E-05
 -5.90     0.20    -4.751882057138049E+00     3.928790639814860E-05     1.261766899750536E-05
 -5.90     0.30    -4.318133907177892E+00     4.323357195651603E-05     1.054808443274294E-05
 -5.90     0.40    -3.962599787436465E+00     5.085025374168610E-05     8.981265756540354E-06
 -5.90     0.50    -3.649022852721174E+00     6.382116490153788E-05     7.714593754727310E-06
 -5.90     0.60    -3.362506648493505E+00     8.430080570757695E-05     6.654170369513689E-06
 -5.90     0.70    -3.095281120382700E+00     1.150033257518557E-04     5.750416518018199E-06
 -5.90     0.80    -2.842677176025422E+00     1.593041768647678E-04     4.973118938091419E-06
 -5.90     0.90    -2.601613406859772E+00     2.213573035278367E-04     4.301480706049295E-06
 -5.90     1.00    -2.369916952407304E+00     3.062325394073409E-04     3.719956552961220E-06
 -5.90     1.10    -2.145979013805952E+00     4.200786254812619E-04     3.215908070239448E-06
 -5.90     1.20    -1.928566481755471E+00     5.703098919493097E-04     2.779049994619975E-06
 -5.90     1.30    -1.716707383068453E+00     7.658214874486284E-04     2.400386991217753E-06
 -5.90     1.40    -1.509620079691376E+00     1.017285898843156E-03     2.072334919086903E-06
 -5.90     1.50    -1.306664948429123E+00     1.337450767662722E-03     1.788144856739602E-06
 -5.90     1.60    -1.107312573261795E+00     1.741488022415482E-03     1.542321072682948E-06
 -5.90     1.70    -9.111199296546857E-01     2.247431806718834E-03     1.329691877318883E-06
 -5.90     1.80    -7.177129179625306E-01     2.876680366576538E-03     1.145765195138252E-06
 -5.90     1.90    -5.267737559093573E-01     3.654582101830662E-03     9.868961202802149E-07
 -5.90     2.00    -3.380305905445111E-01     4.611122044467772E-03     8.498489869911795E-07
 -5.80   -12.60    -2.063951948191095E+01     4.097726871695344E-05     1.811447891267730E-01
 -5.80   -12.50    -2.063951948191095E+01     4.028898227120183E-05     1.438938173699900E-01
 -5.80   -12.40    -2.063951948191095E+01     3.974225691376331E-05     1.143043187326604E-01
 -5.80   -12.30    -2.063951948191095E+01     3.930797752571017E-05     9.080054451369392E-02
 -5.80   -12.20    -2.063951948191095E+01     3.896301714602077E-05     7.213083302898386E-02
 -5.80   -12.10    -2.063951948191095E+01     3.868900537657228E-05     5.730095406252275E-02
 -5.80   -12.00    -2.063951948191095E+01     3.847135009145258E-05     4.552116248191893E-02
 -5.80   -11.90    -2.063951948191095E+01     3.829846035304504E-05     3.616414143027794E-02
 -5.80   -11.80    -2.063951948191095E+01     3.816112915233384E-05     2.873159541605000E-02
 -5.80   -11.70    -2.063951948191095E+01     3.805204310210034E-05     2.282771426106123E-02
 -5.80   -11.60    -2.063951948191095E+01     3.796539297238532E-05     1.813809476519714E-02
 -5.80   -11.50    -2.063951948191095E+01     3.789656432781017E-05     1.441299758951884E-02
 -5.80   -11.40    -2.063951948191095E+01     3.784189179206631E-05     1.145404772578589E-02
 -5.80   -11.30    -2.063951948191095E+01     3.779846385326100E-05     9.103670303889233E-03
 -5.80   -11.20    -2.063951948191095E+01     3.776396781529206E-05     7.236699155418226E-03
 -5.80   -11.10    -2.063951948191095E+01     3.773656663834721E-05     5.753711258772116E-03
